Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),pro,method
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03099394635205022,0.007929911754179142,,,0.05639641527961262,0.04139632423199095,0.04625245812639117,0.05007599152457121,,,0.015112930529481311,,,0.017637287587526692,,0.09266506578603383,,0.046211045354793444,xalan_2.5.0,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019927592881848696,0.015138320806409582,,,0.030091908073899103,0.02555133249507354,0.05636055422812272,0.05809321479695658,,,0.020864326374073153,,0.06806052625557271,0.01717983771051103,,0.10729285433620814,,0.033608005606474464,xalan_2.6.0,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07823809179874502,0.05229995886358133,,,0.04995231845087154,0.05892852922664971,,,,0.04646729353212798,0.01272329166151986,,0.10989674335544661,,0.010190060133473048,0.03910551904664524,,0.059566804610166196,xerces_1.2.0,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005330609321476036,,,0.03456544327719975,0.03874167939081978,,,,0.19176111935552156,0.013285586879809963,0.03399494236244305,0.033969261160972354,,0.02690293019160766,0.08679351444634521,,0.04156375802561281,xerces_1.3.0,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002354797873136203,,,0.02545460757629697,0.21081359502277772,,,,0.011080176128615444,0.003466215137988207,0.12383714632190541,0.028208333577491067,,0.03415616310727359,0.108582785102529,,0.03167779992973965,xerces_1.4.4,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06390774420050685,0.0377026475269139,0.057845262377591904,,0.07581383651225285,,,,0.09046663907660961,0.04048698154811895,,0.023474078298027827,,,0.06622550800227561,ant_1.4,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10913883673180054,0.028913539665477366,,0.1014028004150779,,,,0.08788833195148987,0.08126054220806848,0.026140671817454032,,,,0.0446378951992962,ant_1.5,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07902802113763774,0.04232756832699423,,0.05021257958574295,,,,0.059174222876097055,0.14112499519101107,,0.014900769934409678,,,0.07945589019824476,ant_1.6,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09882601643559542,0.03285102160998304,,0.07126379451329952,,,,0.06479201895200995,0.10827867433963237,0.01912500026770496,,,,0.07782997460352019,ant_1.7,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02884501562739017,,,,0.08488477593902252,0.026106939592642427,,0.12946402921477565,,,,,0.07518914565199933,0.024445393608482715,,,,0.11892377040242001,ivy_2.0,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05479115958588959,,,,0.10866030685270116,0.0550152866320688,,0.08705877630883031,,,,,,0.057243447781659955,,,,0.09183511409331882,jEdit_3.2.1,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048926111232639555,,,,0.10895484893315463,0.04759960803239509,,0.08283783349847607,,,,,0.059752305319380694,0.020161236715180712,,,,0.09794637863813432,jEdit_4.0,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03440865158424428,,,,0.09173752470024313,0.03276125009231965,,0.04922337924652683,,0.08726232753476146,,,0.0576642787020545,0.02030367019413387,,,,0.09858976889639948,jEdit_4.1,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025440125323157217,,,,0.07967519782018358,0.08736017222219127,,0.05826582938100869,,0.07310881758354784,,,0.08724411271972864,0.008766334552792741,,,,0.07329083298987936,jEdit_4.2,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07849823433278058,0.06109880973954942,0.053343111498861125,,0.04514581901370318,,0.10496876888806282,,0.03790166676182428,0.04189068616413183,,,,,0.08039262696929073,log4j_1.0.4,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05089330364266628,0.0352056503485678,,0.059178753335847434,,0.04502158885022012,,0.03586476555074927,0.09780262468086202,,0.022117338942468277,,,0.06811767785550803,lucene_2.0,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06577104019623745,0.06300851296527259,,0.06992405831159793,,0.04176874927748779,,0.039294607984759054,0.0667340216906337,0.019821843287516763,,,,0.04378617081109593,lucene_2.2,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05986574630224116,0.060595831424488225,,0.05076562912249408,,0.07654019648418474,,0.03670563691009226,0.07111586030204786,,0.04599004070975108,,,0.047875397330558025,lucene_2.4,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11253097592274605,0.05452116937207365,,0.09204507198161717,,,,,0.07477111483054251,0.04226013228738145,,,,0.05268274378493327,poi_1.5,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05994766577082723,0.021829293120243797,,0.05650208185750361,,0.07027088227881734,,0.060555934802902986,0.03344912837478942,0.13218305423421503,,,,0.09653130575536491,poi_2.0,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08789320513609158,0.03405753766127833,,0.07259151076366675,,0.04813698027457994,,0.04965202114866406,0.039240539048305455,,0.12178743744066699,,,0.0472123350741158,poi_2.5,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027074304753089955,,,,0.09696449512511801,0.03120346563464418,,0.07940114752797253,,0.03151469750070599,,,0.053023503442286284,0.07503341211959198,,,,0.09533900399406992,poi_3.0,code_nosize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08752654819851485,0.057927138181164226,0.022028836353557193,,0.034744747032060194,,0.050556023998656975,,0.05159922184498264,0.05508210818523938,0.018119825328259533,,,,0.1218259024599442,synapse_1.0,code_nosize
